rank,category,Youtuber,video views,subscribers,,Category,Total_Views,Total_Subscribers
670,People & Blogs,Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,5324913850,15100000,,,,
299,Movies,Ultra Movie Parlour,5320485069,22900000,,,,
882,Education,The Infographics Show,5263540904,13200000,,,,
707,Gaming,Lachlan,5269059435,14800000,,,,
899,Music,twenty one pilots,5264039679,13100000,,,,
444,Entertainment,Sidemen,5257834105,18800000,,,,
488,Comedy,Lele Pons,5244917119,17900000,,,,
420,Entertainment,RKD Studios,5234251168,19500000,,,,
881,Entertainment,MC Divertida,5224764969,13200000,,,,
807,Entertainment,T-Series Regional,5217553897,13900000,,,,
432,Film & Animation,Goldmines Great Indian Comedy,5194942269,19100000,,,,
830,Education,infobells,5178142148,13700000,,,,
487,Entertainment,RobleisIUTU,5168721499,17900000,,,,
346,Entertainment,Infinite,5141834668,21300000,,,,
967,Music,Wave Music Bhakti,5146004207,12500000,,,,
836,Education,JOJO TV - Hindi Stories,5141201173,13600000,,,,
802,Entertainment,Crescendo com Luluca,5094050461,14000000,,,,
366,Howto & Style,5-Minute Crafts DIY,5091618606,20700000,,,,
553,People & Blogs,Tu COSMOPOLIS,5089284369,16700000,,,,
596,Music,TWICE,5055576881,16100000,,,,
529,Gaming,Willyrex,5024088947,17200000,,,,
818,People & Blogs,123 GO! Spanish,5019136690,13800000,,,,
744,People & Blogs,Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,5014888374,14500000,,,,
698,Entertainment,iTownGamePlay *Terror&Diversiï¿½ï,4977284539,14900000,,,,
827,People & Blogs,MyMissAnand,4963275018,13700000,,,,
793,Gaming,AM3NlC,4959982720,14000000,,,,
961,Entertainment,NDTV,4935793409,12500000,,,,
359,Pets & Animals,Brave Wilderness,4927879069,20900000,,,,
434,Education,ýýýýýýýýýýýýýý ýýýý,4924054368,19000000,,,,
645,Music,zayn,4909687948,15400000,,,,
743,nan,Eli Kids - Cartoons & Songs,4821183481,14500000,,,,
989,Education,Caylus,4779139505,12400000,,,,
769,People & Blogs,Super Polina,4776507159,14300000,,,,
581,Gaming,W2S,4768370464,16300000,,,,
646,People & Blogs,Kerajinan 5-Menit,4750420071,15400000,,,,
214,Entertainment,BB Ki Vines,4749833967,26300000,,,,
683,Gaming,PlayStation,4741434420,15000000,,,,
939,Howto & Style,Blossom,4733873025,12700000,,,,
891,Music,Lokdhun Punjabi,4712624489,13100000,,,,
380,Entertainment,SlivkiShow,4707412332,20400000,,,,
725,Music,Camila Loures,4684983333,14700000,,,,
795,People & Blogs,TV Ana Emilia,4674164601,14000000,,,,
792,Entertainment,Bie The Ska,4627069704,14100000,,,,
960,Entertainment,Parafernalha,4625777945,12500000,,,,
729,People & Blogs,Planeta das Gï¿½ï¿½,4622581344,14600000,,,,
850,nan,Vlad y Niki Show,4622628957,13400000,,,,
896,Music,Hungria Hip Hop,4608751851,13100000,,,,
540,Entertainment,VICE,4609753237,16900000,,,,
742,News & Politics,BBC News,4598387043,14500000,,,,
762,Howto & Style,Rosanna Pansino,4597228794,14400000,,,,
911,Comedy,The LaBrant Fam,4637474071,13000000,,,,
934,Music,Adexe & Nau,4579773883,12700000,,,,
738,Entertainment,les boys tv2,4577292740,14500000,,,,
431,Comedy,TheOdd1sOut,4566120190,19100000,,,,
458,People & Blogs,The ACE Family,4558380251,18500000,,,,
